id,name,geometry_type,geometry_wkt,coordinate_count,lon_min,lon_max,lat_min,lat_max
0FB25C90E63CCF2F18DB,BLESSED IRENE SHRINE,Polygon,"POLYGON((36.96025542670617 -0.3964948327431321, 36.9602824964443 -0.3965296518542301, 36.960353039902 -0.3965479095809411, 36.96037473864506 -0.3965122883820461, 36.96039215347306 -0.3964677758451128, 36.96036414023935 -0.3964327595025562, 36.96032741475196 -0.3964266543597834, 36.96029684260004 -0.3964240544374895, 36.96026561914928 -0.3964547089689786, 36.96025542670617 -0.3964948327431321))",10,36.96025542670617,36.96039215347306,-0.3965479095809411,-0.3964240544374895
026C62C2013CCF2FD990,Sub-Road 4,LineString,"LINESTRING(36.96011655434512 -0.3968653169891741, 36.96018057972912 -0.396106946801923)",2,36.96011655434512,36.96018057972912,-0.3968653169891741,-0.396106946801923
04FD135B5F3CCF344FC7,HANDBALL PITCH,Polygon,"POLYGON((36.95943987231202 -0.3926099700362005, 36.95943392531492 -0.3929077408706109, 36.96007445541668 -0.3929178268841541, 36.96005585008604 -0.3926748457361831, 36.95943987231202 -0.3926099700362005))",5,36.95943392531492,36.96007445541668,-0.3929178268841541,-0.3926099700362005
07F5FA607B3CCF3542E3,MEDICAL CENTER,Polygon,"POLYGON((36.96031574420731 -0.3928326183731436, 36.96031187782683 -0.3929825419204214, 36.96072757124873 -0.3929952531353163, 36.96073609779499 -0.3928895732703706, 36.96070040679105 -0.3927799462165716, 36.9603202890067 -0.3927978548007343, 36.96031574420731 -0.3928326183731436))",7,36.96031187782683,36.96073609779499,-0.3929952531353163,-0.3927799462165716
062D6C99E93CCF367459,Sub-Road 5,LineString,"LINESTRING(36.96023057372374 -0.3930858002779711, 36.96024895168078 -0.3929003014125799, 36.96023288353044 -0.3928604340059075, 36.96020729277971 -0.3927946573287933, 36.95997375914939 -0.3925780310121722, 36.95918916140658 -0.3925680898923908, 36.95821522078287 -0.3925719139092458)",7,36.95821522078287,36.96024895168078,-0.3930858002779711,-0.3925680898923908
050699555A3CCF3734DF,INTERNAL HOSTELS (87),Polygon,"POLYGON((36.95932306744808 -0.3923122224962429, 36.95973025355035 -0.392318447744283, 36.95972646235439 -0.392207180412305, 36.95933167087498 -0.3922097118143586, 36.95932306744808 -0.3923122224962429))",5,36.95932306744808,36.95973025355035,-0.392318447744283,-0.392207180412305
01122A52A13CCF38931C,INTERNAL HOSTELS (MT. KENYA),Polygon,"POLYGON((36.96008369664406 -0.3922158802642565, 36.96007970909853 -0.3923171820319063, 36.96048556083067 -0.3923305450471339, 36.96049409651491 -0.3922642114105698, 36.96047945706104 -0.3922282374389116, 36.96008369664406 -0.3922158802642565))",6,36.96007970909853,36.96049409651491,-0.3923305450471339,-0.3922158802642565
0D104DB8E83CCF3914A8,INTERNAL HOSTELS (-),Polygon,"POLYGON((36.96014481793615 -0.3920662094147279, 36.96013260670041 -0.3921696641307347, 36.96057818922045 -0.3921793508947786, 36.96058927150737 -0.3920815409578243, 36.96014481793615 -0.3920662094147279))",5,36.96013260670041,36.96058927150737,-0.3921793508947786,-0.3920662094147279
0DE4BE93EB3CCF397F23,STUDENTS CENTER,Polygon,"POLYGON((36.95989704571543 -0.3919934207943662, 36.95989759938818 -0.3921986113885411, 36.96009073259486 -0.3922027202656459, 36.96009724166436 -0.3921587125457139, 36.96008012295879 -0.3919931020810025, 36.95989704571543 -0.3919934207943662))",6,36.95989704571543,36.96009724166436,-0.3922027202656459,-0.3919931020810025
0B03914E443CCF3A3DB7,INTERNAL HOSTELS (NYANDARUA),Polygon,"POLYGON((36.95935870561689 -0.3918601821141364, 36.9593436409669 -0.3919716443289363, 36.95985407861471 -0.3919836834488611, 36.95984813432801 -0.3918830291364491, 36.95935870561689 -0.3918601821141364))",5,36.9593436409669,36.95985407861471,-0.3919836834488611,-0.3918601821141364
0672905C983CCF3B351E,INTERNAL HOSTELS (BATIAN),Polygon,"POLYGON((36.95918889131009 -0.3932744482264869, 36.9592105259161 -0.3935382472155357, 36.95933309424155 -0.3935678358197849, 36.95933817062505 -0.3934006192546669, 36.95967113562443 -0.3933816763856572, 36.95968589115895 -0.3935506904164153, 36.95980068355917 -0.3935393406637678, 36.95978386781424 -0.3932354736982131, 36.95918889131009 -0.3932744482264869))",9,36.95918889131009,36.95980068355917,-0.3935678358197849,-0.3932354736982131
